faup,Faculdade de Arquitetura (FAUP)
fbaup,Faculdade de Belas Artes (FBAUP)
fcup,Faculdade de Ciências (FCUP)
fcnaup,Faculdade de Ciências da Nutrição e da Alimentação (FCNAUP)
fadeup,Faculdade de Desporto (FADEUP)
fdup,Faculdade de Direito (FDUP)
fep,Faculdade de Economia (FEP)
feup,Faculdade de Engenharia (FEUP)
ffup,Faculdade de Farmácia (FFUP)
flup,Faculdade de Letras (FLUP)
fmup,Faculdade de Medicina (FMUP)
fmdup,Faculdade de Medicina Dentária (FMDUP)
fpceup,Faculdade de Psicologia e de Ciências da Educação (FPCEUP)
icbas,Instituto de Ciências Biomédicas Abel Salazar (ICBAS)
pbs,Porto Business School
